Ticker,Price,P/E Ratio,Forward P/E,Dividend Yield (%),Market Cap (B)
EIX,59.9,7.8505898,9.7416115,5.76,23.051558912
AES,14.55,9.572369,6.289009,4.75,10.361360384
D,57.76,18.875816,16.022146,4.51,49.322029056
PNW,86.43,17.82062,18.4384,4.13,10.344841216
FE,44.415,19.310871,16.339977,3.93,25.65701632
EVRG,71.89,19.69589,16.73386,3.8,16.550094848
DUK,115.2706,18.152851,17.212172,3.63,89.641476096
WEC,104.37,19.767046,18.67856,3.58,33.950961664
ED,97.62,17.066435,16.211153,3.4,35.234537472
SO,85.53,21.27612,18.682913,3.4,94.177501184
DTE,127.24,19.076462,16.47303,3.4,26.425585664
AEP,112.74,16.506588,17.846033,3.28,60.345843712
PEG,78.66,18.908655,17.64049,3.11,39.263453184
PPL,34.61,23.544218,17.737803,3.1,25.602373632
LNT,64.0,20.125786,18.6565,3.09,16.451436544
CMS,68.92,19.861671,17.88439,3.08,20.973717504
XEL,72.93,22.234756,17.71328,3.05,43.14099712
SRE,86.57,26.636923,16.9914,2.88,56.50264064
AEE,98.43,18.928846,18.40126,2.82,26.624815104
NEE,79.86,25.35238,19.93057,2.8,166.317211648
ETR,91.615,22.565271,20.834375,2.73,40.914972672
NI,40.965,21.560526,19.881481,2.66,19.385970688
CNP,37.595,23.794304,19.702744,2.38,24.54458368
PCG,15.92,13.378151,9.77935,1.23,34.99073536
NRG,159.74,23.841793,16.772823,1.06,30.8986368
VST,161.405,58.059353,17.156836,0.55,54.688129024
CEG,351.4175,40.30017,30.749144,0.42,109.784784896
